POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2093,0,10,0,10,..,53,18,66,0,66,..,19,0,22,0,22,..,22,7,31,0,31,..,490,23,518,11,535,..,3220,294,3512,38,3547,..,75,5,83,540,625,19383,3296,298,3589,579,23555
POA2094,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,7,0,7,0,7,..,118,4,123,0,124,..,608,25,633,7,641,..,7,0,7,201,208,5289,619,25,646,204,6141
POA2095,0,8,0,8,..,25,8,28,0,28,..,6,0,6,0,6,..,28,3,29,0,29,..,473,29,502,14,510,..,2388,158,2547,36,2586,..,68,3,69,682,746,12968,2453,163,2614,718,16296
POA2096,0,0,0,0,..,11,0,15,0,15,..,3,3,9,0,9,..,19,3,19,0,19,..,320,18,333,9,348,..,1715,123,1844,35,1875,..,45,4,49,437,485,12598,1764,132,1895,471,14955
POA2097,0,9,0,9,..,22,3,31,0,31,..,9,0,9,0,9,..,10,4,23,0,23,..,224,31,253,7,265,..,1686,179,1857,28,1883,..,40,4,41,466,512,13590,1727,178,1902,493,15991
POA2099,0,28,0,28,..,217,53,267,0,267,..,45,6,55,0,55,..,133,36,169,4,167,..,1428,339,1764,28,1793,..,9532,1432,10956,115,11071,..,222,42,271,1464,1736,30106,9756,1471,11227,1582,42917
POA2100,0,19,0,19,..,64,17,82,0,82,..,11,7,13,0,12,..,59,22,80,0,80,..,527,75,601,12,614,..,3534,492,4030,41,4076,..,103,13,121,563,676,17215,3641,506,4148,607,21973
POA2101,0,0,0,0,..,37,9,45,0,42,..,6,0,6,0,6,..,18,0,18,0,18,..,287,34,327,3,334,..,1831,157,1988,21,2006,..,78,15,89,730,819,17065,1905,164,2069,756,19885
POA2102,0,0,0,0,..,18,5,22,0,22,..,6,0,9,0,9,..,7,3,14,0,14,..,132,12,149,4,150,..,1006,81,1091,11,1099,..,30,0,33,474,507,6766,1036,83,1117,486,8379
POA2103,0,5,0,5,..,18,4,17,0,17,..,5,0,5,0,5,..,19,4,24,0,24,..,125,6,130,0,137,..,984,93,1076,12,1090,..,30,0,31,482,517,9273,1010,97,1107,496,10877
POA2104,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,69,5,74,0,74,..,243,28,271,3,276,..,8,0,8,153,164,3371,253,28,283,155,3807
POA2105,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,19,0,19,4,20,..,146,9,156,6,164,..,0,0,4,105,110,1738,148,10,158,113,2008
POA2106,0,0,0,0,..,20,3,20,0,25,..,0,0,0,0,0,..,18,0,16,0,16,..,98,8,100,0,100,..,626,44,666,12,681,..,21,0,21,291,307,8672,643,44,685,304,9659
POA2107,0,0,0,0,..,9,0,8,0,8,..,6,0,6,0,6,..,17,0,19,0,19,..,211,15,225,5,225,..,920,46,963,10,973,..,60,3,57,386,445,14009,976,47,1021,394,15422
POA2108,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,6,3,10,0,10,..,85,3,92,0,92,..,4,3,6,74,85,1559,91,7,99,74,1740
POA2110,0,3,0,3,..,0,0,7,0,7,..,16,0,16,0,16,..,43,0,43,0,43,..,178,14,195,0,193,..,1555,199,1754,9,1765,..,24,3,32,698,724,7355,1579,201,1787,710,9846
