POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6155,7462,841,178,84,12,7,22,8607
POA6156,1998,273,61,12,0,0,6,2348
POA6157,1436,190,41,6,0,0,0,1668
POA6158,840,126,21,0,0,0,5,987
POA6159,295,38,5,8,0,0,3,347
POA6160,568,93,9,0,0,0,0,681
POA6161,5,0,0,0,0,0,0,3
POA6162,1122,151,25,12,0,0,0,1306
POA6163,4895,724,145,49,3,0,28,5850
POA6164,7966,1216,329,68,15,7,39,9638
POA6165,0,0,0,0,0,0,0,3
POA6166,1231,192,48,10,0,0,4,1487
POA6167,2503,515,174,29,5,3,25,3256
POA6168,1430,385,130,24,10,0,21,2005
POA6169,2868,726,223,42,7,0,31,3905
POA6170,1974,366,126,39,5,0,11,2521
POA6171,3938,1076,353,38,8,6,25,5444
POA6172,1220,353,102,17,13,7,24,1731
POA6173,1445,380,116,12,6,0,12,1968
POA6174,526,142,37,6,0,0,3,723
POA6175,411,101,33,5,0,0,4,560
POA6176,220,69,15,3,0,0,0,314
POA6180,611,207,57,10,0,0,6,888
POA6181,63,5,4,0,0,0,0,70
POA6182,0,0,0,0,0,0,0,0
POA6207,121,34,8,0,0,0,5,165
POA6208,848,290,87,15,0,5,29,1274
POA6209,138,31,11,3,0,0,4,189
POA6210,5010,1509,374,53,20,7,69,7040
POA6211,648,222,57,12,6,0,4,949
POA6213,46,11,4,0,0,0,3,64
POA6214,63,18,6,0,0,0,3,87
POA6215,313,84,20,9,0,0,7,434
POA6218,33,7,8,0,0,0,0,49
POA6219,55,8,5,0,0,0,4,66
POA6220,374,58,26,3,0,0,0,474
POA6221,23,7,0,0,0,0,0,30
POA6223,14,3,0,0,0,0,0,26
POA6224,92,21,13,3,0,0,0,131
POA6225,632,149,59,18,9,0,15,873
POA6226,97,26,6,0,0,0,0,132
POA6227,93,17,0,0,0,0,0,117
