POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3954,57,103,0,0,4,18,0,3,17,62,20,81,3,17,6,27,12,41,27,86,44,168,0,0,4,9,0,3,0,6,5,17,0,0,3,9,4,6,9,9,10,26,0,5,109,302
POA3956,456,899,3,19,29,118,12,29,151,611,190,785,11,53,25,71,48,148,80,279,267,1061,0,0,3,15,5,22,34,97,48,136,3,10,8,21,35,71,42,99,97,237,8,15,830,2211
POA3957,37,75,0,11,0,7,0,9,20,92,30,123,4,14,4,9,9,22,14,48,38,166,0,0,0,0,0,0,8,20,8,20,0,0,0,0,0,0,0,0,8,20,0,6,86,259
POA3958,34,68,0,0,0,4,0,9,12,56,17,69,3,13,0,6,10,31,17,44,29,112,0,0,0,0,0,0,3,10,5,14,0,0,0,0,4,10,5,14,7,25,0,0,75,207
POA3959,183,361,0,14,18,81,5,15,50,208,69,322,8,20,12,35,31,83,45,140,118,460,0,0,0,0,0,0,12,28,12,28,0,0,3,8,18,35,21,45,31,72,0,7,338,902
POA3960,433,855,3,35,18,91,3,18,87,355,113,496,12,47,17,58,42,131,75,236,187,730,0,0,3,6,4,5,30,84,33,95,4,13,6,9,36,68,43,94,79,188,3,4,699,1788
POA3962,142,288,0,3,5,28,3,5,33,141,47,179,0,0,9,16,20,51,26,68,64,249,0,5,4,7,0,0,17,55,20,66,0,3,6,5,13,29,17,33,42,99,4,8,256,646
POA3964,26,59,0,0,0,7,0,0,12,48,18,61,0,0,0,0,0,8,0,8,17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,5,0,4,46,126
POA3965,41,82,0,0,0,0,0,0,8,19,3,23,0,0,0,0,5,12,5,8,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,12,8,12,0,0,57,125
POA3966,69,134,3,9,6,32,0,3,28,114,41,162,5,7,0,7,10,38,11,51,54,213,0,4,0,0,0,3,8,10,12,17,0,4,0,5,4,15,11,21,16,45,0,5,140,400
POA3967,18,29,0,0,0,0,0,0,9,31,9,31,0,4,0,3,5,3,5,12,9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,14,6,14,0,0,35,84
POA3971,650,1283,4,29,27,139,12,61,168,674,214,906,9,49,24,78,79,249,113,377,335,1282,0,0,9,32,8,24,61,160,81,222,11,26,9,16,54,115,70,164,150,386,16,31,1153,2987
POA3975,1040,2148,61,391,343,1575,70,318,1819,7184,2290,9469,166,740,282,990,421,1400,861,3124,3150,12589,12,60,33,130,12,59,194,537,251,784,40,132,47,121,169,400,256,650,505,1436,53,113,4749,16281
POA3976,1697,3504,126,790,398,2002,97,486,1731,6963,2347,10235,217,1002,260,915,759,2521,1240,4437,3584,14671,34,163,69,265,59,224,415,1173,581,1829,65,245,104,257,516,1209,695,1712,1272,3538,126,274,6680,21987
POA3977,8513,17309,409,2550,1773,8530,421,2049,10468,41133,13073,54258,774,3400,1055,3704,2339,7812,4169,14911,17249,69172,117,625,351,1261,208,776,1950,5386,2630,8043,256,882,404,940,1653,3785,2316,5605,4948,13652,435,943,31137,101068
POA3978,2971,6080,97,572,641,2953,119,573,5480,20883,6334,24976,237,1035,358,1279,500,1691,1094,4004,7427,28976,24,136,94,332,30,135,599,1619,744,2225,67,220,112,260,335,783,508,1268,1256,3493,142,299,11799,38849
POA3979,53,101,0,9,6,31,0,0,21,87,27,125,3,14,0,14,7,17,15,46,42,173,0,0,0,5,0,0,3,7,6,12,0,0,0,0,0,0,4,0,6,16,0,0,99,292
POA3980,360,712,15,66,42,186,15,60,248,989,319,1304,19,83,31,109,114,376,167,574,487,1872,0,5,7,22,4,23,42,105,57,160,0,8,11,19,54,127,73,155,127,313,17,27,986,2927
POA3981,532,1070,17,100,57,295,35,167,378,1487,490,2054,37,158,28,91,138,472,203,723,694,2775,3,21,20,59,12,43,90,238,126,367,10,21,20,51,79,165,100,240,225,607,21,43,1470,4491
POA3984,971,1941,17,87,64,300,19,82,414,1626,516,2089,18,95,36,120,163,521,221,737,734,2833,5,15,18,76,13,40,106,294,145,423,11,42,14,36,134,300,166,380,306,806,24,46,2042,5628
POA3987,189,372,9,32,16,91,11,48,107,414,140,596,6,28,16,54,48,158,70,245,211,837,0,0,3,9,7,5,24,72,34,79,0,9,8,11,11,29,21,43,48,122,4,6,447,1338
POA3988,144,285,3,20,7,54,6,28,72,286,90,387,9,37,11,29,32,100,52,171,144,549,0,0,0,5,0,0,11,23,9,29,0,0,0,0,14,26,14,26,23,56,4,7,315,901
POA3990,30,54,0,0,0,6,0,0,3,12,3,18,0,0,0,7,7,14,7,24,11,42,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,5,7,0,0,37,102
POA3991,55,100,0,5,0,9,0,4,19,81,26,103,0,5,4,11,11,38,20,51,39,159,0,0,0,0,0,0,0,8,5,10,0,10,0,0,10,17,12,27,14,41,0,4,111,299
POA3992,175,353,3,12,11,55,4,18,78,298,92,379,3,18,10,28,30,90,42,131,137,516,0,0,0,4,8,25,22,56,31,80,4,3,5,10,15,31,19,49,54,131,5,6,367,1001
POA3995,1503,3005,19,80,101,473,36,165,509,1968,667,2687,42,161,71,219,246,794,356,1176,1021,3855,9,46,27,100,24,102,210,555,278,796,21,72,41,86,238,514,302,675,576,1475,32,59,3128,8397
POA3996,1089,2164,8,28,75,337,9,36,353,1426,438,1829,24,83,57,189,85,245,159,521,601,2346,0,14,18,70,3,12,68,175,93,267,3,4,5,20,72,155,79,184,171,449,22,39,1878,5000
POA4000,2589,5115,0,0,58,253,4,31,605,2045,674,2328,23,97,104,338,102,302,233,735,903,3069,0,0,23,67,7,13,145,302,169,378,7,24,89,190,141,288,233,501,407,884,143,304,4044,9359
POA4005,2620,5200,4,20,87,374,9,39,757,2684,855,3119,31,140,132,429,134,422,301,993,1149,4112,0,0,19,62,0,5,169,364,188,432,10,35,67,142,145,309,224,477,413,909,105,210,4282,10439
POA4006,3664,7250,3,16,54,236,4,18,620,2073,684,2342,13,42,81,242,94,290,183,578,866,2921,0,0,23,59,7,29,210,441,238,525,8,20,72,142,155,317,230,470,470,1001,185,377,5177,11553
POA4007,2037,4043,14,64,120,525,10,46,712,2684,852,3322,65,294,198,688,190,592,454,1578,1303,4906,3,7,27,85,3,4,169,409,204,511,17,45,90,196,151,309,254,550,457,1054,102,214,3900,10216
POA4008,28,62,0,0,0,4,0,6,10,43,13,47,0,3,0,4,6,16,8,24,23,74,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,12,5,12,6,20,0,6,57,158
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,501,990,0,0,4,20,0,3,135,510,145,541,3,17,16,69,22,54,44,143,186,682,0,5,8,19,0,6,37,83,47,109,3,5,15,28,39,80,59,117,101,221,41,85,828,1976
POA4011,1580,3170,12,65,177,792,15,69,1089,4171,1294,5093,91,387,235,852,197,641,526,1881,1820,6973,4,10,29,80,6,31,207,477,246,590,23,81,94,207,197,412,314,709,561,1296,98,196,4056,11637
POA4012,2541,5088,18,121,242,1076,29,125,1656,6166,1948,7492,108,451,236,821,278,864,613,2134,2570,9623,0,12,35,121,12,47,341,786,394,961,24,76,134,295,314,662,474,1026,865,1995,162,337,6142,17034
POA4013,489,985,0,19,42,194,5,24,365,1356,417,1591,18,77,57,202,78,253,152,534,567,2125,0,5,12,46,3,14,68,164,87,229,11,31,14,33,77,158,97,221,184,447,37,71,1272,3625
POA4014,1332,2711,17,82,119,553,28,137,1143,4322,1313,5096,67,288,127,442,248,804,445,1530,1763,6627,9,42,39,126,12,45,164,423,223,636,20,66,54,111,178,396,247,574,469,1215,89,180,3654,10733
POA4017,3717,7478,74,414,490,2217,93,410,2743,10453,3399,13499,242,1018,464,1613,820,2630,1527,5266,4925,18764,24,113,146,462,46,177,607,1576,815,2326,64,213,166,371,685,1491,924,2073,1744,4400,165,346,10551,30990
POA4018,1436,2895,20,94,129,551,30,133,1110,4172,1281,4949,38,160,113,387,203,669,358,1211,1639,6160,10,44,46,138,25,86,288,742,362,1006,24,74,67,140,221,477,314,692,674,1693,74,155,3822,10907
POA4019,2412,4834,26,161,151,672,49,240,993,3771,1220,4839,73,306,132,425,371,1156,576,1885,1794,6724,17,89,59,203,46,169,440,1116,565,1576,33,107,107,239,506,1079,650,1414,1213,2995,87,179,5508,14724
POA4020,3598,7155,45,244,243,1120,62,301,1133,4337,1484,5995,93,396,212,716,532,1670,841,2776,2328,8778,15,60,84,271,39,112,444,1145,576,1594,45,135,127,276,479,1024,651,1437,1229,3032,96,201,7251,19173
POA4021,944,1920,23,147,87,438,31,162,465,1824,613,2567,38,169,64,212,238,762,338,1147,955,3712,19,79,35,121,25,103,238,673,316,974,14,45,48,110,234,502,295,657,609,1638,54,114,2568,7379
POA4022,817,1645,25,152,77,361,27,139,360,1453,491,2101,30,156,57,199,138,448,226,804,721,2904,8,55,40,152,23,90,156,476,234,770,20,56,36,83,153,346,208,487,441,1256,20,49,2006,5857
POA4025,27,52,0,0,0,5,0,0,0,6,3,7,0,11,0,0,0,0,5,12,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,6,0,10,0,0,37,82
POA4030,2075,4143,10,67,177,795,17,78,1134,4259,1342,5192,61,258,200,706,184,591,443,1551,1788,6738,5,9,36,117,10,44,211,477,256,642,27,86,84,185,166,364,282,632,538,1275,156,329,4557,12479
POA4031,1433,2858,17,92,183,815,20,90,1067,4014,1288,5013,75,326,183,679,172,566,435,1566,1720,6581,4,19,51,138,13,48,227,510,294,718,16,63,75,167,171,357,259,587,554,1301,104,208,3814,10945
POA4032,2070,4153,13,85,147,693,33,155,987,3619,1185,4554,68,290,124,426,249,800,442,1518,1627,6071,14,69,53,175,23,75,311,763,399,1078,31,106,102,218,305,650,438,974,843,2052,171,358,4709,12637
POA4034,4870,9816,86,475,485,2211,84,407,3161,11965,3818,15058,282,1201,463,1577,877,2821,1620,5594,5438,20653,34,161,126,431,53,205,760,1921,976,2724,78,250,234,516,817,1791,1124,2555,2104,5282,292,607,12694,36358
POA4035,2809,5646,63,348,484,2204,69,302,2050,8007,2667,10860,285,1211,483,1732,713,2276,1485,5220,4153,16078,9,35,72,228,16,43,342,854,436,1162,66,204,122,271,311,675,496,1154,932,2314,77,169,7981,24200
POA4036,709,1422,18,96,92,411,22,134,521,1994,653,2637,33,136,53,176,166,517,251,833,897,3470,4,10,24,91,15,52,125,339,162,485,13,30,35,84,141,320,184,433,354,920,34,76,1991,5895
POA4037,741,1510,23,107,191,837,22,108,631,2507,866,3558,87,357,155,529,211,678,450,1565,1315,5125,4,19,20,72,8,15,80,212,112,318,6,31,34,84,77,179,127,297,236,618,10,21,2305,7263
POA4051,2769,5538,36,175,401,1805,30,137,2172,8322,2633,10428,153,629,436,1570,364,1156,951,3355,3585,13785,7,19,78,245,15,35,396,897,490,1194,50,143,152,332,302,636,504,1108,996,2312,181,371,7530,22000
POA4053,4908,9815,71,379,539,2440,89,412,3707,13977,4410,17206,255,1093,577,1998,736,2394,1572,5492,5982,22694,28,106,128,422,58,186,803,1944,1013,2666,89,271,235,527,718,1570,1032,2365,2048,5033,249,517,13187,38056
POA4054,1496,3006,29,158,148,695,35,173,1017,3882,1238,4905,80,331,136,485,277,902,498,1723,1733,6625,14,57,60,189,24,90,263,681,353,1021,40,122,76,162,268,588,379,874,733,1892,58,119,4026,11637
POA4055,2228,4452,38,201,410,1860,71,323,1901,7335,2417,9723,196,826,307,1068,519,1669,1019,3565,3436,13285,8,51,79,236,21,70,300,812,415,1172,48,146,94,209,242,525,378,882,794,2053,63,125,6514,19911
POA4059,1275,2523,11,42,153,676,8,31,780,2932,948,3672,54,221,145,500,102,317,303,1042,1253,4711,0,10,24,78,11,24,184,424,227,538,16,43,110,235,80,172,211,455,434,990,121,250,3074,8485
POA4060,1055,2110,21,128,282,1316,19,87,1009,4027,1331,5557,104,426,290,1050,236,760,628,2237,1963,7792,0,0,42,122,9,27,163,391,213,543,15,43,79,174,127,268,217,489,427,1030,44,102,3498,11037
POA4061,1627,3247,29,163,340,1539,37,162,1351,5361,1759,7229,127,529,330,1169,397,1260,853,2961,2614,10185,11,20,80,247,15,43,221,543,328,854,40,116,96,215,237,509,370,848,694,1700,46,88,4978,15223
POA4064,1367,2700,3,13,126,583,5,30,735,2791,876,3418,50,205,150,503,110,363,314,1072,1180,4495,0,0,30,82,6,6,102,246,134,339,19,61,68,146,98,198,181,404,313,742,93,185,2952,8120
POA4065,828,1658,10,45,178,805,12,32,900,3550,1090,4435,75,309,198,692,160,499,427,1501,1520,5933,3,15,29,83,4,10,117,266,150,373,17,63,55,127,79,166,152,357,307,724,40,85,2700,8405
POA4066,2155,4281,0,10,168,754,14,53,944,3514,1121,4332,54,214,191,667,170,531,411,1413,1533,5745,0,4,32,97,7,21,199,428,241,549,12,46,102,225,122,250,243,528,483,1075,194,396,4364,11493
POA4067,958,1916,3,17,100,452,3,25,545,2012,655,2510,32,112,102,337,79,252,205,701,865,3204,0,5,19,67,4,10,99,249,132,329,7,18,39,91,72,150,120,260,248,588,118,250,2195,5960
POA4068,2507,5007,23,128,325,1442,17,82,1778,6728,2143,8377,125,521,375,1293,297,903,790,2722,2932,11104,3,18,77,238,16,44,323,764,426,1065,38,130,188,420,214,444,443,994,871,2059,211,437,6519,18602
POA4069,3388,6786,54,284,731,3328,63,267,2861,11286,3707,15169,305,1283,794,2821,784,2461,1880,6556,5587,21727,15,54,111,345,18,51,312,798,449,1244,50,159,187,438,293,640,535,1240,984,2481,98,201,10067,31199
POA4070,1193,2398,8,61,253,1168,29,117,981,3829,1271,5175,103,436,209,723,286,897,593,2052,1865,7231,6,29,50,178,20,70,169,428,248,706,23,82,65,150,124,294,213,526,464,1230,21,46,3541,10900
POA4073,941,1895,18,75,174,763,10,42,696,2691,887,3570,81,335,189,666,249,768,516,1770,1408,5340,3,12,15,57,4,15,87,215,117,300,16,42,42,101,113,254,172,398,286,698,16,37,2655,7969
POA4074,2639,5313,38,219,343,1565,50,231,1817,7055,2252,9070,171,727,406,1414,617,1983,1195,4127,3442,13198,12,54,75,242,21,80,312,827,418,1204,50,143,127,296,336,728,511,1171,933,2370,81,180,7095,21063
POA4075,2440,4884,27,146,391,1790,45,226,1968,7641,2428,9802,184,783,419,1472,395,1274,1001,3527,3433,13332,0,11,95,313,26,87,323,772,443,1184,40,129,143,326,316,664,504,1127,950,2307,113,236,6940,20751
POA4076,393,813,8,77,54,278,12,60,294,1134,375,1546,21,91,38,110,102,355,158,554,533,2103,9,34,18,50,4,23,92,237,120,339,17,57,24,60,122,289,159,402,282,745,43,91,1249,3754
POA4077,2405,4931,134,904,351,1826,140,717,2209,8955,2830,12405,188,880,242,859,642,2158,1082,3891,3911,16299,46,263,178,729,94,377,899,2615,1227,3987,117,405,176,414,780,1801,1064,2619,2289,6611,252,549,8855,28393
POA4078,2245,4539,86,525,366,1708,86,431,1772,6889,2313,9552,203,874,352,1205,604,1959,1151,4044,3468,13596,39,202,108,403,61,246,528,1448,726,2295,58,207,136,319,488,1113,684,1645,1415,3935,110,246,7236,22316
POA4101,4106,8150,19,118,304,1336,21,101,1464,5256,1808,6811,89,381,354,1216,275,872,721,2462,2528,9277,4,24,104,323,10,41,439,1043,568,1437,40,128,234,491,263,538,533,1157,1103,2591,229,473,7965,20495
POA4102,1135,2281,5,35,70,323,7,26,378,1380,467,1771,29,118,79,288,69,231,179,636,642,2401,0,0,18,46,5,11,101,235,120,293,11,32,56,108,97,201,154,340,275,630,110,233,2158,5545
POA4103,1611,3236,10,35,107,481,14,64,866,3178,986,3755,59,230,133,466,138,435,329,1135,1317,4886,5,10,23,68,14,48,188,434,227,559,6,25,75,150,178,378,255,556,485,1114,124,265,3546,9506
POA4104,828,1643,5,34,68,295,8,27,399,1494,474,1846,36,169,102,375,102,321,247,865,721,2712,0,4,17,58,0,4,87,192,109,259,8,21,31,75,60,132,96,231,204,487,54,112,1807,4957
POA4105,1493,2990,9,66,127,577,23,93,982,3698,1138,4426,55,247,140,496,214,672,413,1412,1545,5843,6,23,25,84,7,18,228,545,264,664,13,49,54,111,169,370,235,533,501,1202,116,243,3655,10281
POA4106,135,276,7,41,12,39,4,15,85,329,103,424,3,20,6,20,22,70,30,104,134,532,0,0,0,10,0,0,29,69,31,83,0,8,11,18,29,58,34,81,65,163,15,31,348,999
POA4107,624,1251,9,45,78,344,11,54,563,2158,662,2606,33,119,62,230,87,270,174,621,836,3227,5,17,23,66,13,27,105,250,137,365,9,33,38,79,102,229,147,340,284,708,50,102,1791,5296
POA4108,634,1294,7,63,44,189,9,37,369,1363,423,1658,25,106,43,154,100,327,169,580,593,2244,6,14,17,57,10,21,73,195,104,295,12,33,26,58,123,279,157,371,263,656,53,117,1540,4311
POA4109,3498,7116,81,554,381,1794,86,402,2239,8620,2785,11369,242,1062,403,1383,836,2707,1483,5157,4269,16527,18,101,98,372,51,196,511,1397,676,2068,80,293,194,457,611,1384,890,2129,1566,4196,236,513,9568,28355
POA4110,1304,2661,46,294,157,779,43,206,1492,5688,1736,6964,80,354,114,382,312,1019,497,1750,2237,8718,21,121,56,202,33,123,319,949,430,1392,31,123,50,119,276,636,361,873,791,2265,80,176,4407,13821
POA4111,78,156,0,4,7,34,0,0,46,172,53,214,6,21,8,32,19,52,29,105,88,320,0,0,0,0,0,5,10,27,15,30,0,0,3,4,18,31,18,40,28,66,8,11,208,555
POA4112,649,1323,36,214,153,774,18,101,714,2898,922,3981,80,350,140,501,242,810,464,1657,1383,5645,14,63,27,120,8,25,84,270,132,477,20,78,34,84,79,180,132,339,272,818,27,63,2331,7844
POA4113,2743,5592,48,298,287,1331,67,308,2239,8451,2646,10380,188,812,344,1212,700,2256,1234,4282,3877,14664,18,92,81,275,24,90,390,1055,510,1515,49,153,117,279,474,1068,641,1500,1149,3012,176,374,7944,23642
POA4114,1671,3439,137,917,261,1499,143,754,1269,5373,1809,8541,119,551,116,416,496,1650,730,2613,2534,11157,85,473,148,618,126,479,908,2647,1267,4226,81,291,133,304,739,1699,945,2285,2218,6510,195,434,6621,21533
POA4115,1767,3567,36,222,311,1437,73,337,1630,6349,2053,8351,132,561,248,874,527,1724,906,3162,2960,11506,12,73,54,193,35,133,322,846,426,1245,35,107,87,207,284,627,408,945,833,2187,72,155,5625,17420
POA4116,2245,4565,73,447,429,1991,71,341,2374,9220,2947,11995,187,797,331,1161,693,2269,1212,4224,4154,16217,28,146,95,337,38,133,427,1093,584,1709,63,208,142,329,372,869,579,1416,1162,3126,99,218,7663,24121
POA4117,140,300,14,89,67,343,19,83,259,1063,352,1582,11,60,16,62,34,113,68,238,418,1820,3,14,16,65,10,32,78,208,104,318,0,0,9,31,31,77,44,104,152,424,8,19,714,2559
POA4118,2731,5529,108,688,370,1852,151,729,2102,8322,2733,11587,170,723,292,981,813,2634,1266,4340,4006,15932,43,212,113,411,70,266,681,1950,910,2839,69,211,133,293,606,1364,801,1869,1709,4715,140,293,8587,26459
POA4119,535,1105,21,134,99,446,19,95,600,2321,733,2990,67,261,97,339,114,387,276,984,1017,3973,6,32,18,66,3,18,102,279,131,400,9,30,24,53,90,210,127,298,256,693,36,87,1844,5858
POA4120,1245,2486,8,38,42,201,10,27,602,2194,665,2461,40,159,65,252,85,286,192,693,855,3152,0,7,19,50,0,5,134,312,149,373,7,28,33,82,117,249,162,356,314,730,104,207,2515,6581
POA4121,2228,4467,37,208,396,1821,44,173,2215,8546,2689,10749,173,724,378,1358,399,1281,957,3367,3641,14112,10,50,79,245,23,78,331,824,444,1196,48,140,121,268,354,743,525,1154,967,2351,147,312,6986,21251
POA4122,4286,8655,67,357,718,3336,94,409,3295,12683,4175,16782,279,1188,610,2169,844,2744,1734,6102,5912,22888,23,108,163,568,46,181,698,1802,937,2658,106,348,260,613,725,1574,1095,2537,2029,5194,286,616,12517,37348
POA4123,2095,4231,49,291,325,1503,69,333,2090,7985,2533,10111,133,574,259,906,495,1612,888,3092,3425,13203,11,47,82,258,36,144,348,925,481,1373,28,95,92,201,302,677,421,976,903,2351,66,149,6489,19938
POA4124,2062,4190,94,580,336,1603,121,574,1726,6829,2279,9583,159,697,189,652,621,2044,974,3395,3252,12978,21,117,80,288,56,202,438,1218,587,1831,37,114,57,126,300,674,394,913,984,2741,68,144,6371,20048
POA4125,1384,2790,29,188,129,631,49,231,831,3262,1041,4320,72,335,94,308,314,1035,481,1675,1520,5997,12,71,32,109,23,89,275,766,346,1039,10,29,30,65,178,390,215,483,561,1520,52,107,3515,10411
POA4127,2510,5069,67,409,276,1331,109,519,1643,6492,2092,8743,146,669,234,804,586,1921,970,3389,3058,12133,30,144,117,410,72,290,615,1658,838,2494,53,171,144,327,542,1224,734,1717,1572,4216,130,276,7272,21696
POA4128,1770,3582,44,236,238,1109,59,295,1241,4807,1579,6447,136,568,189,644,456,1458,779,2664,2362,9116,9,37,47,168,22,86,260,684,333,973,26,89,64,144,282,624,375,863,710,1833,45,98,4888,14626
POA4129,603,1220,20,117,83,392,31,164,475,1871,613,2551,37,144,53,174,155,482,237,800,845,3343,6,32,24,74,8,40,171,489,209,636,18,57,30,60,134,301,177,420,393,1053,26,61,1871,5683
POA4130,982,1992,31,165,149,696,38,159,605,2395,819,3416,57,253,119,389,291,961,469,1606,1285,5019,12,31,33,115,13,27,124,323,178,502,20,67,30,77,107,241,167,383,337,887,18,37,2627,7940
POA4131,824,1690,43,276,124,640,51,263,622,2506,843,3690,40,183,60,217,231,743,329,1148,1174,4833,26,155,55,201,31,144,318,904,435,1402,25,87,43,88,271,617,342,790,774,2193,76,166,2848,8873
POA4132,1471,2986,127,861,323,1762,176,927,1590,6777,2210,10326,142,621,151,523,509,1670,797,2810,3008,13132,65,344,157,623,117,474,774,2345,1113,3782,72,238,115,266,463,1073,653,1579,1760,5361,135,294,6376,21775
POA4133,1888,3831,80,524,245,1246,94,466,1440,5764,1855,7996,105,456,111,381,373,1245,590,2081,2442,10079,23,107,93,351,39,151,553,1582,697,2196,46,161,73,177,385,867,503,1204,1204,3402,98,215,5631,17523
POA4151,2003,3991,14,77,200,898,27,117,1140,4317,1383,5407,95,408,250,907,190,588,530,1904,1919,7309,3,18,19,53,3,8,207,479,237,561,35,108,68,143,181,381,280,634,519,1195,158,323,4594,12818
POA4152,4844,9741,68,381,609,2734,103,463,3584,13660,4369,17231,361,1540,726,2602,997,3191,2088,7337,6450,24571,14,77,100,327,45,153,676,1668,839,2220,81,244,257,557,659,1416,991,2212,1825,4433,239,502,13364,39241
POA4153,429,860,11,51,71,314,12,46,346,1365,434,1774,43,170,88,313,125,389,254,873,681,2643,0,3,12,36,3,5,48,116,61,168,4,26,19,40,74,167,102,230,165,399,15,34,1290,3937
POA4154,874,1745,20,100,259,1183,23,115,1157,4542,1466,5939,96,413,197,707,221,729,516,1851,1976,7795,4,16,44,129,6,29,147,382,201,551,16,49,51,121,100,219,166,395,371,947,18,44,3242,10522
POA4155,155,308,9,47,26,150,3,22,80,342,124,562,10,43,29,128,44,157,87,327,211,889,0,0,6,7,0,4,14,36,12,45,8,10,3,3,23,44,31,59,44,112,3,4,410,1305
POA4156,307,620,10,62,106,461,10,34,246,985,371,1541,31,142,69,244,105,355,204,744,580,2286,0,0,10,19,0,5,28,85,36,108,5,17,10,29,27,66,47,110,81,215,4,11,969,3132
POA4157,2190,4426,38,212,209,995,74,312,1254,4898,1569,6418,118,509,177,590,531,1720,823,2820,2397,9238,11,60,43,162,26,89,354,908,443,1226,32,110,100,221,393,860,530,1188,972,2413,68,143,5624,16222
POA4158,442,887,6,26,29,119,9,30,259,995,300,1175,10,54,19,76,66,211,99,341,400,1514,3,6,17,62,7,30,106,261,133,362,3,11,28,60,82,182,118,251,252,612,16,29,1107,3047
POA4159,1743,3512,18,114,189,864,44,201,956,3727,1212,4907,97,413,184,638,374,1206,655,2257,1869,7163,11,59,46,148,23,82,203,543,282,834,32,95,69,152,230,498,324,745,606,1584,51,110,4268,12362
POA4160,2218,4438,39,204,315,1432,56,236,1173,4533,1579,6401,174,731,316,1091,501,1582,991,3401,2564,9804,8,40,78,248,27,104,282,707,391,1096,38,124,95,210,257,570,390,910,783,2008,71,155,5637,16398
POA4161,1716,3456,29,162,176,848,70,308,1102,4217,1373,5546,108,438,144,493,436,1422,689,2355,2060,7898,9,38,66,226,43,163,322,877,440,1309,28,90,71,167,352,779,456,1041,893,2350,67,148,4734,13857
POA4163,2135,4262,35,204,158,724,48,213,658,2553,902,3692,97,409,184,614,378,1199,657,2222,1561,5915,9,30,63,202,14,55,267,669,354,964,36,101,100,211,287,613,420,925,767,1891,62,124,4523,12187
POA4164,1897,3838,56,297,307,1426,69,305,1479,5776,1914,7800,152,629,264,923,465,1523,884,3071,2799,10869,11,55,64,213,33,108,301,810,415,1181,49,154,85,198,242,531,375,879,787,2063,60,123,5548,16893
POA4165,4675,9357,104,565,477,2162,158,695,2746,10673,3489,14088,299,1271,450,1516,1020,3254,1771,6039,5255,20127,23,115,108,377,60,243,559,1549,756,2278,75,228,124,277,557,1219,755,1727,1515,4010,83,180,11529,33673
POA4169,2223,4429,0,5,65,293,11,39,570,2003,644,2339,24,115,126,406,122,364,266,880,912,3223,0,4,21,64,6,13,173,392,199,481,9,29,56,121,117,246,187,396,383,874,119,243,3636,8765
POA4170,2837,5683,24,114,299,1313,33,141,2183,8193,2531,9759,109,467,343,1222,320,1031,783,2722,3314,12485,5,24,80,230,12,50,435,1047,534,1355,34,110,126,275,322,705,490,1087,1030,2442,184,375,7362,20980
POA4171,1773,3520,14,76,222,1037,11,58,1312,5011,1564,6183,107,434,289,1010,243,758,634,2204,2204,8385,0,13,60,169,13,29,261,559,325,771,29,74,93,209,162,328,280,611,604,1372,68,142,4652,13428
