POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2646,930,1853,7,49,74,324,32,112,289,1165,400,1654,24,101,36,109,134,411,191,621,590,2274,0,20,14,58,5,31,106,298,132,402,12,27,21,56,100,207,137,291,269,692,15,33,1806,4851
POA2647,392,787,6,26,26,114,7,38,120,487,155,669,5,24,18,60,34,106,58,186,214,856,0,0,6,23,3,20,24,56,33,104,0,4,3,8,31,68,40,79,72,181,3,8,688,1834
POA2648,332,665,0,6,17,62,6,29,112,441,132,538,4,31,9,31,55,167,72,234,207,772,0,0,9,20,0,10,36,91,43,117,3,12,13,14,34,68,43,93,84,207,12,31,637,1678
POA2649,3,5,0,0,0,0,0,0,3,16,3,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27
POA2650,6233,12389,161,995,680,3246,236,1115,3810,15144,4898,20500,274,1161,461,1520,1075,3373,1811,6057,6707,26554,31,144,193,682,117,452,1271,3451,1608,4730,104,324,206,436,886,1905,1190,2664,2801,7396,246,508,15985,46845
POA2651,193,373,3,35,28,140,8,47,214,846,259,1060,4,30,21,71,47,144,72,239,328,1307,0,3,10,42,6,26,66,187,83,260,7,25,7,12,33,63,45,103,127,363,7,10,658,2052
POA2652,579,1146,13,72,51,225,27,109,307,1290,392,1696,20,98,36,106,101,311,158,510,549,2198,0,7,5,15,3,29,60,166,81,210,0,12,7,16,59,122,66,145,145,363,8,22,1283,3734
POA2653,361,720,6,20,19,109,8,29,118,494,152,653,11,45,13,54,34,103,59,201,218,854,0,0,8,22,3,20,47,120,58,167,3,4,8,21,39,85,52,111,111,275,7,15,697,1859
POA2655,152,302,3,14,14,86,7,29,87,405,117,527,4,11,14,40,25,71,39,122,156,653,0,6,3,31,0,0,15,48,19,88,3,5,3,6,23,57,32,69,51,156,5,12,360,1123
POA2656,173,351,0,4,11,62,7,23,72,293,85,378,6,22,10,31,18,58,34,113,123,488,0,4,5,10,3,11,19,52,27,75,0,3,6,8,17,46,26,58,54,137,6,14,361,984
POA2658,190,384,4,22,20,81,8,29,64,283,88,416,8,45,14,38,23,64,42,147,131,562,0,5,0,3,3,8,25,74,33,87,0,0,5,6,22,45,28,50,56,143,4,7,384,1092
POA2659,109,209,4,9,6,44,3,16,26,123,41,188,0,13,7,19,19,60,27,91,72,283,0,0,0,5,0,9,17,46,20,59,0,6,9,14,16,30,24,54,40,105,8,9,227,610
POA2660,169,342,9,42,21,82,7,40,99,393,131,557,0,15,5,30,28,93,39,134,170,690,0,6,4,20,4,12,27,79,37,122,0,0,7,25,25,55,34,78,77,204,3,4,421,1241
POA2661,12,30,0,0,6,17,0,4,25,111,28,125,0,0,0,0,0,0,0,0,28,125,0,0,0,0,0,3,3,12,4,13,0,0,0,0,0,0,0,0,4,13,0,4,52,168
POA2663,485,967,16,86,42,198,17,78,228,898,299,1264,10,54,27,83,105,324,138,453,440,1719,0,5,12,47,9,29,114,326,140,413,8,20,15,32,57,123,78,179,220,591,18,39,1160,3310
POA2665,272,532,5,23,29,120,6,21,103,447,140,617,13,49,17,40,30,94,56,181,204,797,0,3,6,18,9,14,25,74,36,111,0,0,9,10,24,48,27,56,61,168,6,13,539,1515
POA2666,721,1441,21,111,58,276,23,102,275,1148,374,1644,15,59,31,92,115,373,157,519,532,2163,6,17,15,61,12,45,88,234,122,355,5,15,15,31,95,209,119,255,232,608,22,53,1517,4267
POA2668,51,102,0,0,3,9,0,0,17,89,21,101,4,14,0,4,3,23,12,40,37,139,0,0,0,10,3,4,9,19,9,40,0,0,0,0,10,16,9,11,14,57,0,4,104,303
POA2669,163,323,6,25,16,88,8,33,87,363,121,503,5,12,15,36,24,79,39,125,157,622,0,0,0,0,3,13,19,47,17,62,3,3,3,11,23,43,29,60,48,116,0,0,373,1072
POA2671,482,950,5,28,44,199,18,81,239,959,306,1270,10,41,22,63,55,175,87,272,397,1544,5,17,5,31,5,23,60,175,80,237,4,13,11,27,56,119,69,155,151,392,9,29,1041,2922
POA2672,154,301,0,3,10,58,9,19,84,354,108,438,0,10,6,18,21,67,30,98,134,532,3,11,3,9,6,16,35,103,43,133,0,3,3,3,26,62,29,68,74,203,8,18,371,1057
POA2675,166,329,0,13,9,54,10,32,88,360,115,458,8,24,6,14,17,57,28,91,138,544,0,5,0,5,4,8,31,78,35,98,6,3,4,5,19,39,23,47,61,148,4,15,375,1036
POA2678,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2680,2481,4997,77,436,260,1234,91,460,1561,6171,1994,8304,144,612,166,555,615,2057,930,3227,2920,11530,18,97,73,246,39,145,391,1154,522,1640,37,121,52,112,383,858,468,1095,989,2730,104,229,6489,19491
POA2681,186,376,6,45,20,108,7,40,102,418,143,615,23,85,11,34,58,205,91,324,236,933,0,5,4,3,0,0,26,70,28,79,0,5,3,10,19,45,25,54,54,138,11,21,482,1464
POA2700,520,1029,9,62,38,193,18,92,228,919,303,1268,11,50,28,95,73,220,119,364,418,1628,3,15,24,81,17,64,107,319,149,484,6,16,18,36,74,151,91,201,247,688,24,53,1205,3406
POA2701,310,619,14,66,31,131,14,57,141,580,190,833,16,63,13,38,45,146,75,249,264,1083,0,0,8,34,4,27,48,127,61,193,0,3,9,14,28,54,32,78,94,272,4,8,674,1984
POA2702,102,199,4,20,6,35,0,21,34,156,53,233,7,19,7,15,19,47,30,87,82,315,0,0,7,11,3,23,7,28,16,64,3,9,0,0,10,20,9,24,30,91,0,0,208,604
POA2703,61,123,0,8,5,24,0,8,26,125,37,164,4,6,4,8,13,35,17,55,57,223,0,0,0,10,0,5,12,22,14,38,0,8,0,0,9,16,14,20,22,66,3,3,143,408
POA2705,1104,2219,22,117,109,519,50,231,567,2291,743,3155,52,210,60,202,207,664,320,1079,1067,4234,5,28,24,94,21,82,221,631,274,831,15,43,21,50,155,333,189,422,461,1255,35,83,2671,7791
POA2706,118,231,0,0,8,46,7,15,39,157,53,218,9,19,8,17,21,72,31,106,89,323,3,8,5,11,0,14,15,51,29,85,0,7,3,5,29,67,31,82,60,164,5,10,265,724
