POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4270,..,159,159,409,32,443,261,9,263,259,0,259,109,0,109,114,0,114,1154,196,1346
POA4272,..,666,666,1204,70,1275,419,14,429,403,0,404,178,0,178,87,0,87,2289,749,3035
POA4275,..,196,196,428,27,452,207,3,216,197,0,197,109,0,109,63,0,63,1006,227,1230
POA4280,..,728,728,1737,119,1859,1206,21,1225,1303,6,1304,667,0,667,512,0,509,5421,866,6286
POA4285,..,1610,1610,2537,140,2680,1143,19,1167,1131,0,1138,547,0,552,404,0,404,5772,1775,7544
POA4287,..,84,84,105,10,110,28,0,26,40,0,40,12,0,12,11,0,11,188,91,284
POA4300,..,3640,3640,5747,506,6248,4236,120,4357,4609,25,4636,1956,5,1958,1222,0,1220,17766,4292,22060
POA4301,..,2270,2270,2798,334,3133,1988,56,2042,1878,19,1895,994,0,998,1068,0,1068,8730,2676,11405
POA4303,..,397,397,468,66,528,208,9,227,136,0,139,73,0,73,67,0,67,953,476,1427
POA4304,..,2121,2121,2082,230,2314,1020,35,1052,820,8,825,381,5,384,236,0,236,4534,2401,6936
POA4305,..,6613,6613,7205,671,7878,3736,93,3826,3289,18,3302,1496,5,1509,859,0,859,16586,7394,23982
POA4306,..,2234,2234,4486,261,4751,2542,36,2583,2798,6,2809,1226,5,1231,669,0,669,11728,2547,14279
POA4307,..,84,84,208,15,229,84,0,84,87,0,87,39,0,39,27,0,27,445,100,541
POA4309,..,260,260,472,23,496,168,0,169,163,0,168,81,0,81,39,0,39,929,282,1213
POA4310,..,577,577,940,43,986,284,3,283,249,0,249,125,0,131,69,5,77,1674,632,2302
POA4311,..,772,772,1256,105,1362,536,11,544,520,0,522,248,0,247,198,0,198,2746,896,3648
POA4312,..,328,328,471,35,505,109,4,115,89,4,94,41,0,41,25,0,25,731,371,1104
POA4313,..,275,275,366,30,393,106,5,108,88,0,87,39,0,39,35,0,35,639,307,938
POA4314,..,458,458,556,47,598,121,5,121,91,0,91,67,0,64,33,0,33,859,512,1371
POA4340,..,485,485,727,71,793,317,4,319,273,0,273,143,0,143,75,0,75,1529,561,2089
POA4341,..,1205,1205,1906,171,2078,840,31,874,823,4,829,392,4,395,272,0,272,4235,1411,5645
POA4342,..,216,216,315,36,351,130,10,137,109,7,116,67,6,72,55,0,55,665,282,947
POA4343,..,951,951,1292,134,1424,606,63,666,514,47,558,236,23,264,198,27,230,2845,1253,4095
POA4344,..,182,182,324,19,342,147,4,151,118,4,121,68,0,68,47,0,47,702,205,908
POA4346,..,86,86,135,9,141,61,0,61,48,0,48,32,0,32,8,0,8,284,90,375
POA4347,..,116,116,164,12,177,63,8,69,52,3,56,31,0,31,29,0,29,341,134,473
POA4350,..,13621,13621,14429,1236,15671,5882,274,6150,5159,71,5228,2392,16,2406,1437,9,1443,29295,15224,44520
POA4352,..,1502,1502,3759,127,3883,1592,18,1609,1894,0,1894,927,0,923,509,0,507,8676,1645,10320
POA4353,..,27,27,31,0,37,22,0,22,16,0,16,11,0,11,4,0,4,88,26,116
POA4354,..,105,105,180,8,187,54,0,54,51,0,51,37,0,37,25,0,25,346,114,457
POA4355,..,335,335,450,25,480,108,0,109,99,0,99,46,0,46,27,0,27,738,364,1104
POA4356,..,418,418,630,27,654,248,3,252,234,0,234,139,0,139,82,0,82,1332,449,1777
POA4357,..,275,275,339,27,368,91,5,98,102,6,106,46,4,50,31,0,36,615,312,934
POA4358,..,205,205,344,30,380,172,5,175,152,0,156,88,0,92,36,0,36,794,238,1038
POA4359,..,97,97,183,15,199,76,0,76,56,0,56,35,0,35,17,0,17,377,108,482
POA4360,..,51,51,83,0,81,32,0,32,17,0,17,15,0,15,7,0,7,153,54,210
POA4361,..,293,293,397,22,423,131,3,139,99,0,101,56,0,56,33,0,33,724,323,1047
POA4362,..,264,264,390,20,406,127,0,125,111,0,111,51,0,51,31,0,31,714,280,992
POA4363,..,34,34,73,7,77,25,0,28,31,0,31,16,0,16,16,0,16,156,42,199
POA4364,..,15,15,21,0,26,4,0,4,6,0,6,5,0,5,3,0,3,43,17,60
POA4365,..,74,74,87,5,97,30,0,33,16,0,16,10,0,10,8,0,8,148,72,227
POA4370,..,2192,2192,2676,148,2826,939,14,959,787,11,790,399,0,399,240,3,244,5041,2372,7414
POA4371,..,70,70,115,4,115,32,0,32,26,0,26,18,0,18,10,0,10,201,74,273
POA4372,..,16,16,25,0,26,4,0,4,4,0,4,0,0,0,4,0,4,40,20,60
POA4373,..,122,122,175,9,181,34,0,34,32,0,32,14,0,14,7,0,7,261,135,394
POA4374,..,47,47,67,5,75,13,0,13,11,0,11,10,0,10,9,0,9,109,53,164
POA4375,..,22,22,31,0,32,12,0,12,8,0,8,3,0,3,3,0,4,54,24,81
POA4376,..,41,41,47,9,48,15,0,15,13,0,13,3,0,3,6,0,6,81,49,128
POA4377,..,50,50,102,0,103,30,0,30,21,0,21,16,0,16,4,0,4,173,51,227
POA4378,..,30,30,88,7,91,20,0,20,28,0,28,17,4,19,4,3,6,160,33,196
POA4380,..,1017,1017,1223,48,1271,332,16,345,317,4,315,159,3,162,82,0,87,2115,1089,3199
POA4381,..,61,61,109,3,108,27,0,27,23,0,23,18,0,18,10,0,10,186,62,248
POA4382,..,48,48,85,0,89,21,0,22,18,0,18,9,0,9,3,0,3,135,52,190
POA4383,..,95,95,105,10,123,28,0,28,20,0,20,4,0,4,3,0,3,159,109,270
POA4384,..,6,6,3,0,8,5,0,5,3,0,3,0,0,0,0,0,0,9,4,16
POA4385,..,178,178,175,12,193,54,0,52,43,0,43,16,0,16,15,0,15,302,184,486
POA4387,..,177,177,199,9,204,69,0,66,57,0,57,18,0,18,13,0,13,351,186,540
POA4388,..,38,38,55,7,60,16,0,16,15,0,15,4,0,4,0,0,0,97,43,138
POA4390,..,616,616,751,61,814,317,11,329,322,5,328,181,0,182,88,0,88,1668,690,2360
POA4400,..,122,122,259,10,274,120,0,117,111,0,111,61,0,61,42,0,42,591,137,728
POA4401,..,526,526,679,49,729,310,3,317,261,0,263,133,0,133,91,0,91,1478,582,2058
POA4402,..,34,34,51,3,54,9,0,9,9,0,9,6,0,6,5,0,5,74,37,114
POA4403,..,69,69,94,8,102,39,0,39,33,0,33,19,0,19,17,0,20,202,78,279
POA4404,..,37,37,67,0,69,21,0,24,21,0,21,13,0,13,0,0,0,122,40,165
POA4405,..,1286,1286,1673,117,1792,713,27,745,686,3,688,344,0,348,232,0,232,3647,1435,5084
POA4406,..,128,128,220,9,233,79,0,80,69,0,69,50,0,50,23,0,23,444,137,586
POA4407,..,50,50,74,3,74,32,0,32,15,0,15,9,0,9,4,0,4,132,56,187
POA4408,..,71,71,77,7,83,15,0,15,25,0,25,11,0,11,6,0,6,137,80,213
POA4410,..,139,139,171,6,176,58,0,58,43,0,43,17,0,17,11,0,11,303,149,453
POA4411,..,20,20,42,4,45,8,0,8,11,0,11,14,0,14,4,0,4,81,21,100
POA4412,..,22,22,18,0,24,18,0,18,9,0,9,3,0,3,0,0,0,46,23,70
POA4413,..,766,766,937,62,1003,374,12,390,386,10,395,225,0,227,124,0,124,2049,857,2901
POA4415,..,254,254,264,21,283,95,5,100,75,0,77,42,0,42,28,0,28,507,278,791
POA4416,..,38,38,52,5,54,17,4,23,21,0,21,10,0,10,4,0,4,106,39,143
POA4417,..,85,85,86,3,88,28,0,28,30,0,30,24,0,24,9,0,9,177,82,262
POA4418,..,10,10,12,0,14,8,0,8,4,0,4,0,0,0,0,0,0,23,12,37
POA4419,..,100,100,124,12,134,37,0,34,39,0,39,17,0,17,12,0,12,222,113,338
